,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,,
10,6636,Polkadot,DOT,polkadot-new,350,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579315,1103303471,,11,904869778,8357254960,2022-06-07T18:37:00.000Z,9.235864832,386657509.7,-3.9622,1.27456554,-2.81516207,-10.84084434,-31.09603452,-53.49075629,-47.94554792,9121149063,0.7387,10189961730,2022-06-07T18:37:00.000Z,2502,Huobi Token,HT,huobi-token,0xa2c49cee16a5e5bdefde931107dc1fae9f7773e3,38:17.8,,
11,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,445,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,273401.6049,273401.6049,,12,,,2022-06-07T18:36:00.000Z,30144.40481,291698924.9,1.8433,0.85799465,-3.60646526,-5.79397778,-12.14618581,-29.53060651,-28.30185218,8241528653,0.6675,8241528653,2022-06-07T18:36:00.000Z,1027,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,38:17.8,,
12,1958,TRON,TRX,tron,615,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,92796456495,92796456748,,13,71659659264,5851944210,2022-06-07T18:36:00.000Z,0.08166302,812289353,5.5023,0.34685156,-0.63859885,1.03636343,-5.51258812,28.81190964,34.15394548,7578038912,0.6111,7578038933,2022-06-07T18:36:00.000Z,,,,,,38:17.8,,
13,5805,Avalanche,AVAX,avalanche,265,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000,280921675.1,404229626.5,,14,,,2022-06-07T18:36:00.000Z,24.68730763,788145458.4,2.0543,1.80296356,-3.85615156,-7.08093064,-52.65116199,-71.42907677,-68.16718258,6935199813,0.5593,17774861491,2022-06-07T18:36:00.000Z,1839,BNB,BNB,bnb,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,38:17.8,,
14,4943,Dai,DAI,multi-collateral-dai,990,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6888810729,6888810729,,15,,,2022-06-07T18:37:00.000Z,1.000860736,317401106.8,30.6638,0.05347478,0.08712,0.09593991,0.0843265,0.15249174,0.09437275,6894740175,0.5584,6894740175,2022-06-07T18:37:00.000Z,1027,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,38:17.8,,
0,1,Bitcoin,BTC,bitcoin,9524,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000,19060981,19060981,,1,,,2022-06-07T18:38:00.000Z,30187.69894,30933130901,0.4867,0.94853065,-3.59539284,-5.64112794,-12.46368967,-29.34107955,-28.24205753,5.75407E+11,46.6008,6.33942E+11,2022-06-07T18:38:00.000Z,,,,,,38:48.0,,
1,1027,Ethereum,ETH,ethereum,5742,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121085951.4,121085951.4,,2,,,2022-06-07T18:37:00.000Z,1804.215218,19203953810,18.8279,1.35872951,-2.92893431,-7.86542492,-29.50787948,-44.27742601,-33.69978456,2.18465E+11,17.6929,2.18465E+11,2022-06-07T18:37:00.000Z,,,,,,38:48.0,,
2,825,Tether,USDT,tether,34391,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,72420549553,79713622660,,3,,,2022-06-07T18:38:00.000Z,0.999293506,52175215047,4.4979,0.00399959,-0.00506053,-0.00455696,-0.0507273,-0.10025398,-0.10427835,72369384897,5.8361,79657305494,2022-06-07T18:38:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,38:48.0,,
3,3408,USD Coin,USDC,usd-coin,4309,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,53761044080,53761044080,,4,,,2022-06-07T18:37:00.000Z,1.000422687,4902090840,7.3476,0.0227617,0.05555969,0.02563217,0.00143432,0.05548843,0.06385355,53783768165,4.3373,53783768165,2022-06-07T18:37:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,38:48.0,,
4,1839,BNB,BNB,bnb,941,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760,163276974.6,163276974.6,,5,,,2022-06-07T18:37:00.000Z,287.0937757,1720193581,44.3281,1.19001786,-4.76850311,-10.69709165,-19.82834815,-32.53615748,-27.13999673,46875803128,3.7801,47403994057,2022-06-07T18:37:00.000Z,,,,,,38:48.0,,
5,2010,Cardano,ADA,cardano,453,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000,33739028516,34277702082,,6,,,2022-06-07T18:37:00.000Z,0.622722105,1301309495,-0.7285,1.42166408,4.05006568,2.50613557,-17.26741742,-40.91189762,-26.25398363,21010038865,1.6943,28022494735,2022-06-07T18:37:00.000Z,1839,BNB,BNB,bnb,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,38:48.0,,
6,52,XRP,XRP,xrp,734,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",1E+11,48343101197,99989535142,,7,,,2022-06-07T18:38:00.000Z,0.400868142,1311470811,11.7157,1.27829499,0.86617631,-3.86812846,-29.98724144,-47.0883752,-47.4455628,19379209177,1.5628,40086814246,2022-06-07T18:38:00.000Z,1839,BNB,BNB,bnb,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,38:48.0,,
7,4687,Binance USD,BUSD,binance-usd,3812,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,18158120131,18158120131,,8,,,2022-06-07T18:38:00.000Z,0.999343964,5130432348,14.0245,-0.16391214,-0.02721146,0.01392813,-0.16936458,-0.14051022,0.04358525,18146207757,1.4696,18146207757,2022-06-07T18:38:00.000Z,1839,BNB,BNB,bnb,BUSD-BD1,38:48.0,,
